"whole","cyto","nuc"
14.39,5.9,7.16
5.21,9.46,54.39
14.34,9.48,16.14
12.95,5.92,3.55
0.04,0.01,0.02
30.64,15.86,84.27
9.19,1.75,2.44
46.92,21.5,14.35
24.87,11.05,29.2
17.9,5.59,12.41
156.43,244.43,673.02
0.98,3.73,10.2
0.29,0.6,1.08
9.51,4.81,10.32
27.21,4.35,3.05
41.92,45.97,79.92
112.4,9.89,42.32
3.55,9.5,24.31
40.43,5.57,6.84
0.22,0,0.01
7.83,6.86,25.45
95.29,159.32,372.51
7.02,4.28,8.95
33.44,5.58,4.95
0,0,0
0,0.26,0.24
12.25,4.13,1.84
1.3,0.12,0.08
46.58,38.06,62.52
82.99,123.41,168.44
0.22,0.15,0.15
5.12,5.63,68.76
42.84,9.99,7.3
7.09,12.66,57.6
0,0,0
23.38,11.42,20.49
0.85,0.05,0.01
64.13,16.48,20.97
0.19,0.04,0.27
19.75,10.05,68.35
41.31,11.72,49.77
26.5,17.13,9.35
15.17,10.9,13.33
9.5,6.86,5.97
157.88,279.35,495.64
4.89,4.65,21.44
0,0,0
0.32,0.31,2.67
68.17,216.03,517.02
66.83,37.68,168.97
50,19.86,28.81
32.91,7.79,4.6
3.15,0.49,0.37
64.78,11.59,22.37
7.19,2.33,2.62
16.87,6.78,20.06
43.59,13.76,7.81
16.39,12.24,32.73
27.96,43.8,347.47
27.13,23.22,15.52
281.47,214.64,512.52
1.4,1.64,9.47
0.01,0.05,0.11
23.87,57.26,147.54
8.87,0.72,1.17
44.39,30.35,48.46
3.24,5.42,33.15
55.16,69.92,284.67
0.25,0.01,0.01
342.2,169.74,84.41
31.8,9.6,6.35
26.44,7.32,34.05
41.61,17.05,15.42
2.93,3.81,9.7
30.07,8.28,5.43
58.59,17.41,8.25
0.07,0.13,0.72
1.97,1.34,3.82
47.5,135.52,208.68
114.37,21.73,32.4
0.09,0.01,0.14
7.96,10.72,51.51
12.82,2.57,7.13
0.12,0.01,0
63.84,22.59,46.04
0.02,0.02,0.07
1.48,0.81,4.45
0.14,0.02,0.01
0,0,0
0,0,0
58.57,27.2,36.17
53.18,10.21,8.5
0.02,0.04,0
0.28,0.51,2.66
20.34,11.93,9.21
13.42,2.97,6
141.06,7.48,8.86
0.27,0.15,0.46
163.47,62.14,112.47
18.94,12.58,12.84
0.01,0,0.01
22.64,8.57,5.92
0.05,0.05,0.28
32.37,9.29,9.08
2.41,0.95,0.69
0.02,0.02,0.1
6.5,5.75,28.64
0,0,0
1235.04,341.98,1091.91
4.39,3.42,7.12
8.09,1.84,2.97
0.78,0.48,0.39
0,0.14,0.09
0.18,0.01,0.01
13.92,3.14,1.65
6.09,11.51,28.45
0.87,0.89,2.93
0,0,0
18.72,18.17,17.87
52.45,21.72,8.81
4,1.81,6.43
1.99,2.08,2.21
13.82,3.25,4.33
0.64,0.4,0.5
74.67,14.44,7.62
0,0,0
1.01,0.21,2.33
22.77,4.01,1.82
0.5,0.26,0.58
1.74,2.63,22.45
39.13,7.72,13.1
42.58,2.28,6.58
0,0,0
29.2,5.91,6.3
65.59,44,44.31
0,0,0
63.08,17.04,37.82
12.07,5.29,19.09
104.42,59.5,63.16
6.43,6.62,25.23
32.62,8.66,8.26
84.88,28.58,66.04
81.42,134.1,511.76
95.26,35.32,27.49
18.57,2.08,3.46
13.08,3.13,2.64
45.23,51.74,90.49
10.43,2.55,1.34
14.4,1.71,1.14
25.23,12.69,5.11
11.52,4.44,2.19
38.3,16.89,6.66
158.1,94.82,70.12
311.76,69.96,241
0.1,0.07,0.27
1.93,5.92,8.63
121.66,31.25,13.45
9.81,1.47,2.56
27.97,33.65,70.41
14.96,3.89,2.03
13.32,4.13,1.19
0.91,0.11,0.06
21.18,6.74,6.66
21.13,14.32,16.58
1.55,1.24,1.19
21.68,16.86,31.34
3.63,11.13,36.89
10.57,24.01,74.95
22.6,20.53,18.19
39.28,5.29,2.97
31.99,5.54,5.12
580.68,630.94,2222.41
0.66,3.07,60.19
23.66,4.71,4.42
8.05,7.57,9.47
248.76,125.1,378.34
7.32,10.86,18.9
2.6,1.04,2.71
0.56,0.08,0.16
10.34,1.9,5.35
20.9,15.03,13.86
6.46,3.74,4.2
0,0,0.01
36.8,6.61,6.1
10.04,21.87,53.96
1.07,1.41,3.54
50.08,13.45,4.45
0.07,0.04,0.09
194.09,34.45,17.49
0.11,0.1,0.69
11.94,9.81,40.71
72.54,65.9,104.91
22.67,11.77,4.25
12.59,3.76,1.96
67.03,10.15,11.17
94.7,21.78,17.23
0.72,0.34,0.99
0,0,0.01
12.73,6.17,6.89
28.86,8.76,4.63
83.95,20.4,5.71
58.51,13.82,17.14
9.56,8.65,10.96
0.01,0,0
0.57,0.05,0.09
111.22,164.84,753.57
9.23,3.39,4.71
1.04,0.2,0.13
7.39,2.19,0.71
119.62,55.08,55.99
32.64,71.8,137.93
7.11,1.78,1.71
48.61,63.7,54.88
10.58,25.7,160.59
10.56,3.33,2.44
26.91,23.68,51.39
27,12.71,23.37
56.23,44.58,60.3
13,16.96,63.42
0,0,0
20.83,4.19,2.72
50.97,10.06,11.17
3.11,1.14,2.62
45.15,27.21,183.85
40.67,11.68,14.55
37.26,4.33,13.29
8.26,13.31,24.93
18.92,39.71,96
0.01,0,0.01
1737.2,4931.37,1611.63
5.36,1.87,1.77
33.39,8.79,20.91
18.68,8.44,3.75
64.68,41.55,18.33
0,0,0
14.75,3.73,5.13
67.08,65.14,47.04
89.77,32.8,121.24
20.67,13.06,6.23
3.18,4.16,6.34
43.75,28.02,33.41
33.28,16.58,9.49
0,0,0
58.97,68.8,114.44
25.44,7.5,5.59
23.92,2.4,1.78
60.2,17.93,12.16
5.68,3.26,2.06
0,0,0
0.07,0.05,0.19
22.89,4.65,5.26
0,0,0
0.28,0.16,0.47
0,0,0
14.1,21.21,124.46
82.38,167.2,107.41
1.29,3.14,19.06
69.21,66.24,93.04
10.54,4.44,6.45
35.67,4.72,4.76
9.27,13.96,87.24
54.09,51.02,60.7
3.1,3.08,1.64
27.8,12.52,12.67
3.61,1.49,0.84
17.95,3.23,4.99
41.63,14.55,4.98
0.01,0,0
26.73,44.83,329.28
69.37,48.76,182.17
36.36,1.42,9.76
8.05,6.39,12.61
0.02,0.01,0
24.98,1.82,6.26
34.65,11.03,6.18
0.8,0.17,0.49
19.56,2.19,3.44
4.21,12.09,42.03
0.1,0,0
86.84,50.59,33.24
0.05,0.01,0.01
14.74,26.52,203.52
0.01,0.02,0.09
9.52,3.95,6.16
47.03,25.58,16.66
50.8,8.67,4.7
6.13,11.89,21.87
5.6,5.63,10.73
0.9,2.83,8.75
46.4,32.41,23.94
0.76,0.15,0.15
15.28,12.67,25.14
8.61,0.75,0.48
421.21,295.02,98.76
0.03,0,0.01
58.49,18.8,33.54
5.92,7.02,26.09
0.56,0.03,0.27
5.44,8.53,24.3
0.01,0.05,0.16
16.23,9.41,7.01
20.94,27.97,30.24
0,0,0
7.06,1.65,2.41
23.74,8.66,19.47
39.72,14.84,59.16
71.66,97.81,101.2
88.77,309.24,237.73
0,0,0
0,0,0
0.24,0.09,0.19
0.57,0.01,0.07
0,0,0
24.88,2.89,0.95
16.44,15.93,30.21
2.27,2.98,8.31
0.07,0,0
17.23,5.47,7.27
0.27,0.8,2.78
0.05,0.04,0.06
11.08,7.68,34.22
143.88,85.9,158.88
21.14,16.85,98.54
5.09,2.22,2.62
0,0,0
331.08,84.04,177.3
67.84,13.29,10.98
20.85,14.67,19.88
13.78,3.47,15.49
0.01,0.01,0.03
0,0.02,0.01
0,0,0
5.55,3.79,9.19
12.49,2.26,3.94
12.76,2.61,3.67
22.73,16.26,17.34
85.99,25.61,26.11
19.66,2.07,2.96
0.43,0.05,0.03
104.51,26.94,69.76
45.73,0.76,0.66
21.11,12.87,73.78
8.97,14.52,8.82
0.85,0.19,0.14
0.01,0,0
14.91,3.28,6.79
7.79,3.93,7.21
40.91,23.05,41.03
0.01,0.01,0.08
0.01,0,0
68.24,44.87,138.29
21.08,5.27,4.1
0.2,0.01,0.04
31.64,10.14,7.92
0.38,0.03,0.08
25.54,28.29,61.43
58.74,140.33,93.22
17.62,5.05,5.03
23.27,3.09,2.87
13.48,2.19,5.89
0,0,0
3.56,1.33,2.02
0.05,0,0
31.63,12.99,3.14
0,0,0
22.55,6.21,4.18
10.28,2.33,3.34
0.03,0.01,0.01
79.25,53.05,49.64
44.27,36.08,34.18
0.06,0.11,0.33
7.98,1.47,1.04
23.47,8.63,4.5
0.52,0.04,0.11
7.43,2.75,10.1
64.94,27.55,8.12
2.98,1.1,1.57
0.01,0,0
2.55,0.66,0.69
0.07,0.12,0.56
32.23,5.65,11.19
172.38,37.6,43.24
0.06,0.11,0.22
35.21,31.44,15.33
10.39,6.81,9.87
132.32,178.03,247.58
27.71,18.02,30.67
0.16,0.09,0.06
2.03,1.39,2.91
84.5,37.12,61.97
20.09,6.01,5.57
0.05,0,0
192.73,64.26,41.48
17.23,4.63,8.94
2.11,0.68,0.92
7.25,2.83,6.71
9.91,4.18,4.11
16.2,2.64,2.78
62.92,23.94,51.94
1.3,0.49,1.07
0.78,2.03,12
0.02,0,0
0.31,0.16,0.06
39.94,23.62,14.96
0,0,0
6.34,26.58,102.29
18.15,14,81.34
137.49,30.84,50.41
8.64,20.76,37.79
8.69,10.33,8.13
8.29,2.65,4.2
17.67,7.34,3.56
52.33,249.91,371.1
115.5,71.51,38.02
9.3,8.02,8.46
39.29,9.76,12.95
10.65,2.17,2.18
0.03,0.03,0.24
18.79,14.65,5.59
28.91,22.16,105.79
3.5,0.57,0.48
20.1,5.82,3.8
66.69,15.74,40.49
1.05,0.51,1.47
2.09,0.5,1.47
5.15,2.09,1.92
0,0,0.04
20.65,25.39,29.93
39.46,50.49,30.09
0,0,0
7.7,21.5,15.26
0.06,0.01,0.01
0.01,0,0.01
31.31,7.63,23.22
27.59,7.94,3.9
13.92,3.31,4.7
0.2,0.04,0.41
50.76,56.2,23.11
51.29,14.09,17.95
79.19,387.58,380.09
1.76,0.48,2.88
0.2,0.07,0.04
11.22,2.65,2.51
88.56,19.64,12.19
44.96,71.69,34.3
0.47,0.47,1.99
3.81,1.6,3.68
17.27,3.79,3.69
2.7,1.96,4.39
7.87,8.42,9.23
13.52,5.96,65.17
5.05,2.52,21.15
17.67,4.14,6
0,0,0
0,0,0
1.33,3.7,4.89
16.45,7.67,22.6
2.2,5.23,32.96
28.23,3.47,5.83
79.65,43.62,48.44
47.75,60.2,47.62
0.33,0.45,1.06
44.96,23.8,16.1
14.77,5.24,3.86
20.99,8.03,18.81
37.85,7.78,2.89
19.61,6.13,2.53
26.62,6.56,3.98
